"","date","open","high","low","close","row_num","atr","date.y","time","text","date_time","atr_news_candle"
"1",2007-01-30 01:00:00,1.1832,1.1836,1.1831,1.1833,991,0.000442857142857189,NA,NA,NA,NA,TRUE
"2",2007-01-30 01:30:00,1.1833,1.1842,1.1829,1.1842,992,0.000457142857142886,NA,NA,NA,NA,TRUE
"3",2007-01-30 02:00:00,1.1842,1.1845,1.1836,1.1838,993,0.000521428571428593,NA,NA,NA,NA,TRUE
"4",2007-01-30 02:30:00,1.1837,1.1838,1.1831,1.1835,994,0.000550000000000035,NA,NA,NA,NA,TRUE
"5",2007-01-30 03:00:00,1.1836,1.1839,1.1816,1.1823,995,0.000571428571428588,NA,NA,NA,NA,TRUE
"6",2007-01-30 03:30:00,1.182,1.1828,1.1818,1.1824,996,0.000692857142857146,NA,NA,NA,NA,TRUE
"7",2007-01-30 04:00:00,1.1824,1.1828,1.1822,1.1827,997,0.000735714285714284,NA,NA,NA,NA,TRUE
"8",2007-01-30 04:30:00,1.1828,1.1838,1.1823,1.1836,998,0.000749999999999997,NA,NA,NA,NA,TRUE
"9",2007-01-30 05:00:00,1.1836,1.1842,1.1833,1.1838,999,0.000835714285714289,NA,NA,NA,NA,TRUE
"10",2007-01-30 05:30:00,1.1838,1.1839,1.1824,1.1825,1000,0.00089285714285714,NA,NA,NA,NA,TRUE
"11",2007-01-30 06:00:00,1.1825,1.1837,1.1825,1.1836,1001,0.000921428571428565,NA,NA,NA,NA,TRUE
"12",2007-01-30 06:30:00,1.1831,1.1833,1.1808,1.1823,1002,0.000985714285714272,NA,NA,NA,NA,TRUE
"13",2007-01-30 07:00:00,1.1824,1.1824,1.181,1.1811,1003,0.00114999999999998,NA,NA,NA,NA,TRUE
"14",2007-01-30 07:30:00,1.181,1.1825,1.1801,1.1825,1004,0.00121428571428569,NA,NA,NA,NA,TRUE
"15",2007-01-30 08:00:00,1.1826,1.1827,1.1816,1.1824,1005,0.00133571428571428,NA,NA,NA,NA,TRUE
"16",2007-01-30 08:30:00,1.1825,1.1827,1.1814,1.1822,1006,0.00137857142857144,NA,NA,NA,NA,TRUE
"17",2007-01-30 09:00:00,1.1821,1.183,1.1819,1.1822,1007,0.00137857142857145,NA,NA,NA,NA,TRUE
"18",2007-01-30 09:30:00,1.1822,1.1823,1.1814,1.1818,1008,0.00139285714285716,NA,NA,NA,NA,TRUE
"19",2007-01-30 10:00:00,1.1817,1.1817,1.1807,1.1809,1009,0.00140714285714288,NA,NA,NA,NA,TRUE
"20",2007-01-30 10:30:00,1.1808,1.1822,1.1805,1.1818,1010,0.00131428571428573,NA,NA,NA,NA,TRUE
"21",2007-01-30 11:00:00,1.1817,1.1818,1.1811,1.1811,1011,0.00136428571428571,NA,NA,NA,NA,TRUE
"22",2007-01-30 11:30:00,1.1812,1.1815,1.1804,1.1805,1012,0.00137142857142855,NA,NA,NA,NA,TRUE
"23",2007-01-30 12:00:00,1.1804,1.1807,1.1792,1.1803,1013,0.00134285714285712,NA,NA,NA,NA,TRUE
"24",2007-01-30 12:30:00,1.1804,1.181,1.1798,1.181,1014,0.00138571428571428,NA,NA,NA,NA,TRUE
"25",2007-01-30 13:00:00,1.1805,1.181,1.1805,1.181,1015,0.00136428571428571,NA,NA,NA,NA,TRUE
"26",2007-01-30 13:30:00,1.181,1.1811,1.18,1.1804,1016,0.00131428571428571,NA,NA,NA,NA,TRUE
